User Name,Star,Review Title,Review Text,Review Posted Time
MrSAsheC,5,Honest: A decent movie but don't expect anything you haven't already seen from Marvel.,"It's a decent movie. Happy that the comedic timing in certain scenes isn't overdone and it plays out to be a little more serious. The Mandarin in the movie by far the best acted out character and the choreography of the martial arts is on point. The movie is probably about 15 mins too long just when you think ""oh it's finishing up"" there's more. There is a notable difference in the second act with the story going more rapid and pacing is definitely the movies biggest flaw. Acting wise it's cool, nothing amazing or something you haven't seen before.

If you're familiar with marvel it's the exact same model as some of the other movies with it being about family (Thor, Black Widow).

Wanna have a good time with the family or just a decent watchable movie? This is one that you'll like.",2-Sep-21
delsoca,7,Strong 7/10,"I have just watched this movie. I am an avid Marvel fan. This film introduces a new character, there is that standard Disney approach, with a mix of comedy, seriousness and lots of action.

Disney work through the numbers on this film, there are no surprises and it does what it does on the tin.

The acting is good, special effects are solids and the story is not bad.

There's continuity linking to the other marvel universe which is nice for the fans.

I would actually pitch this at 7.5/10, not quite an 8 but higher than a 7

Those review of 1 or 2 out of ten are way off the mark, this film is not that bad.",4-Sep-21
wgeddings,9,A return to good Marvel movies,"If you are like me, from the previews and ads you thought this was a Kung Fu movie about a son rebelling against his crime lord father and the father sends men to force him to return and make him take over as the next leader of the criminal empire. Not an awful plot but not that original either. That is absolutely NOT what this movie is about. I love and hate that Marvel's trailer seldom give anything away and I am glad they are doing it again. That is not at all what this movie is about and I will not spoil anything.

The performances are good, the story is good and while not complicated, it keeps your interest. Funny parts, touching parts, action parts, it is overall just a good movie that was enjoyable to watch. It is not one of the best Marvel movies but it is a solid one and worth seeing in the theater.",5-Sep-21
MiroslavKyuranov,8,Absolute Banger!,"That was a freakin' blast! The story is complex and interesting it fills some gaps in the MCU and simultaneously is a great origin story for the character of Shang-Chi.

The whole cast is amazing, I mean there is so much chemistry between them. Simu Liu and Tony Leung are phenomenal in their respective roles. The Mandarin tho...so well created character.

The movie is amazing bridge between East and West culture. There is so much to explore, much like Wakanda. The history of Shang's culture is so rich.

The fight choreography is absolute kick in the gutts...in a good way. I mean this is something completely new for the MCU and they deliver it again! Everything looks so goddamn good and I can't help myself thinking about some scenes! Also, the colors, the effects, the camera work and etc. Everything is magnificent.

There is humor for sure, but there is also emotional impact. This is not some bland action packed movie, it's made with heart from fans for the fans. Kudos to the director Destin Cretton!

Killer soundtrack and the main song for the movie ""Run It"" fits so good with all.

There are a few surprises, that were hidden from the promos and trailers and man...just wait to see them.

About the credit scenes...they are two, both are good, but one of them is...SICK!

For sure deserves more than one viewing in the cinema, so much story building, details, action, fun. The people who underestimated this movie will be so surprised how great is it.",1-Sep-21
adamthorn-31294,10,Amazing,Shang-Chi was honestly amazing. The cinematic experience was great and the story and plot of the movie was very good too. I am a huge marvel fan and it makes me happy to see that they are branching out to different types of hero's from all types of backgrounds. To sum up my review I really enjoyed it and highly recommend. (stay for the credits to the end),5-Sep-21
Izzy2727,2,Stop Disneying our Marvel Dammit,"Couple of things, 1. The actors are made of plastic, I know it wasn't a CGI cartoon but the actors were so one dimensional it may as well have been. Have never seen live actors display the uncanny valley. 2. Feels alot more like a Disney film and less like a Marvel super hero movie. 3. It was super formulaic, Awkwafina was as usually not funny and every little chuckle was super forced. Overall had some good fight choreography but you can get that in any other Kung Fu Movie. Kind of makes you wonder why so much money was spent on a very very very template movie. Kind of lame.",4-Sep-21
maximfilipenko,5,Probably one of the worst MCU movies,null,2-Sep-21
valenkim,3,Great visuals but horrid storyline.,This is well done as far as special effects but the plot is so boring I couldn't take it and left in the middle of the film.,3-Sep-21
lakelazy,10,One of the Best Marvel Movies of This Year,"This movie portrays a villain that by far has been the best out of all the other Marvel antagonists. It shows his personal conflicts, his purpose, as well as his cruelty. The hero of this film are overshadowed by this, but the ending really makes a mark on the audience. Also the martial arts and action scenes are a treat to watch and the core of the film is about family.",1-Sep-21
jameszd44,9,Fantastic movie!,"This movie is much better than black widow, it's funny, it's exciting, and full of adventure!

Must see this summer!",4-Sep-21
casualmovienerd,1,Martin Scorsese Was So Right,"Martin Scorsese called most of these generic MCU movies theme park movies and This movie is perfect example of that. There are some great MCU movies, but seems like Marvel isn't even trying to separate themselves from theme park stigma, when they make movies like this.",3-Sep-21
dzzg,2,Not as Good as Some Reviews Say,Overall it's nothing new or very creative. I have no idea why some people pretend like it's new coming of movies. It's not. It's meh at best. Wait for streaming!,3-Sep-21
teomslaer,4,Great visuals but slow moving,"Well the fight scenes were exciting , the story was incredibly slow. Not the best Marvel movie but not as weak as movies like Thor: The Dark World. Some of the best visuals in any movie I have seen which helps improve the overall experience. Keep an eye out for a fun character to pop up as well!",3-Sep-21
ejarellano-66205,10,IT WAS FANTASTIC🔥🔥🔥,"The was really good better than I expected,it has a great story,best hand to hand fight scene and more! I can't wait to watch it again more than 10 times I absolutely love this🔥.",3-Sep-21
liveyj,10,Top tier MCU,"Solid performances, some of the best action sequences in the MCU, visually stunning and likeable characters. This film is not only an achievement for a marvel film but also a film on its own.",4-Sep-21
laceup-96849,5,Boring,"Another forgettable Marvel film, story is the same old but this time it's the asian version, I think the biggest issue is it's too long or else some of the action were good.",3-Sep-21
gavinp9,7,Enjoyable action film,null,1-Sep-21
rulaniyarakesh,10,Must watch movie of this year,Just an another amazing movie brought by MCU with adding a new character to marvel universe. Overall fantastic movie with the point of view of storyline and action sequences which really are one of the best among all marvel movies till now. It is clearly visible by this movie that there's something big planned by MCU in future which would be amazing to watch. At last just watch this movie you will love it.,3-Sep-21
gaberh1234,6,Visually stunning but overrated,"The fight scenes, creature designs and set are absolutely amazing, but overall story was sort of slow. Visually stunning but yet I couldn't help but feel it's a bit overrated. It also felt less connected to the mcu than most Marvel films and the first Wong/ Abomination cameo felt very out of place.",11-Sep-21
whatgoodmovies,3,Overrated,Extremely overrated movie for no reason at all. It doesn nothing new. Only thing marvel has left is Spider-Man right now. Everything else is just super meh.,3-Sep-21
galidayan,10,This is an awesome movie! Loved every second of it,"The best amount of tension and humor, with a great storyline and great characters. LOVED IT.",4-Sep-21
felixdenomme,9,A great Kung-Fu movie.,null,2-Sep-21
mandynguyen-89365,10,Amazing,Such a good movie. The asian representation is on point. If I could give this movie past a 10 star rating I would. Can't wait for what else marvel has in store.,7-Sep-21
mephisto2424,8,The perfect start for phase 4,"It is a story of self discovery, full of great character arcs, glorious fight scenes and The cinematography, choreography, plot - it could not have been done better. Simu Liu really shines as the main character: he brings so much charm to the role that it's easy to grow fond of him. CGI and the fight scenes were stunning!

The perfect start for phase 4 (I know, the start is with black widow but is something ""old"")Marvel hasn't made such a masterpiece since Black Panther.",4-Sep-21
kakuskari,10,Shang Chi is a Emotional Roller Coaster,"Shang Chi is an emotional roller coaster. Using the strength of its powerful and interesting villain, the movie successfully brings together the past 10 years of Marvel movies into a largely effective cocktail of super-heroic dramatics. Destin Daniel Cretton creates a superhero movie that it's every bit the epic that it needs to be. However prepared you feel, you are not ready for the villain, Mandarin . Shang Chi is stunning, hilarious and heartbreaking and one of the best action set pieces of this year which is the bus scene.",1-Sep-21
pewpewds-27356,10,Blew away my already high expectations,"I had very high expectations and Shang-Chi still blew me away. Definitely the best Marvel movie to date, the story was great. The villain wasn't boring and didn't have lame motives, the characters were well written, the music was fantastic and the fight scenes and special effects were amazing. It's also a very easy movie to understand and enjoy if you aren't very well versed in Marvel movies as it's Shang-Chi's introductory movie. Highly recommend.",6-Sep-21
valmont1702,9,"Poetry in motion, layered story, emotional adventure. A sparkling jewel.","Shang-Chi and the Legend of the Ten Rings is a wonderful movie in so numerous ways... Visually striking, with a great mastery of the staging from beginning to end.

So much visual poetry, the legend/adventure aspect of it is really top-notch, with legends & mystical elements that grab you ever more with the story unveiling before your eyes ... The humor is very pleasant (Katy, played by Awkwafina, brought a welcome energy & heart in each of her scenes) and adds a pretty pleasant flavor to the whole adventure.

I really loved the way the characters are written, with Xu Wenwu (Tony Leung) as a complex & layered figure all along the movie... And Xialing (Shang-Chi's sister, played by Meng'er Zhang), as well as Li (their mother) are both highly enjoyable to see express themselves on-screen, they both have a lot of presence (and skills), each in their own ways.

I found the entire movie very coherent, every detail makes sense and is counter balanced in a way or another... Yes, there is a strong notion of balance (darkness & light, and so on), with a lot of messages infused in both the action & dialogs. It is an extremely entertaining movie, but I really wanted to emphasize the richness and depth of its story/mythology and characters, all connected in the most organic way.

By the way, I loved the whole Asian/Chinesz myths & legends aspec of the movie, the spirit & philosophy of it all was a true delight to my eyes, with countless Sci-Fi elements entwined in it, but all smoothly integrant of this mythology... I think I probably put it in my Top 5 Marvel movies... I found the staging really majestic, from the dialog scenes to the action scenes, the humor, the flashbacks, and this new ""universe"" (mythology) that is presented here, it just all flows in such a delightful way from beginning to end.

Marvel Studios always are very very clever at hiring a great variety of talents, and they nailed it once again... Destin Daniel Cretton (the director of the movie) is super creative and manages to construct pretty complex scenes while always masterfully telling a story, building a deeply cohesive piece ; it's all fantasy but nonetheless feels visceral and real. This movie is another Marvel movie you often forget that it is a Marvel movie, precisely because of its powerful and so deeply captivating mythology, and this emotional weight that you can feel over the characters, it truly sets something different. It felt like I was watching a movie in the vein of certain epic Asian adventure/martial arts movies... Gotta admit it's my jam, so... In addition to the Marvel stuff, it's a very pleasant feeling.

The energy in the movie theater was fun, lots of people were excited from all these scenes that just grab you. Because yes, clearly... There is a good number of mind-blowing scenes in this incredible movie ! The photography and color treatment make the movie very striking... And like I said, certain scenes mesmerize you because of their beauty & mastery, or even their grand epicness ! At times, it feels like an epic fresco that you are contemplating.

The scene when/where the two parents meet for the first time is beyond gorgeous (the setting, the colors, the choreography, the costume design and overall design, the music & sound effects, the characters and the atmosphere as a whole) ; an absolute masterpiece of art, visually way beyond sublime, what a gift for the eyes, wow... And the 'Grand Final' is quite simply epic, emotionally grabbing, and of course stunning visually, with a flow of glorious shots that all are impressive.

A jewel.",1-Sep-21
Sleepin_Dragon,9,Wow!,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.

Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.

I plan on seeing this again, just to understand a few bits a little more.

Go and watch it, you'll love it, 9/10.",9-Sep-21
axterwho,8,hell yeah,"Amazing martial arts and epic fights, but it lacks plot in the ending and it's quite bland. Still it's one of the best hand to hand combat MCU-movies I've seen. Good usage of comedy as usual for the MCU.",4-Sep-21
mueidaurnib,9,Marvel again outlived our expectations!!!,"It's one of the best marvel/origin movies to date. Can't wait for what's next. It was action-packed, hilarious, and emotional. Family at its heart/core. The story was EPIC, visuals were great. It redeemed Iron Man 3 and Ten Rings. Wenwu was amazing, one of the best and memorable Marvel villains. Simu Liu shined as Shang-Chi, it was made for him. His portrayal made Shang-Chi an instant fan favorite. Co-stars were also amazing, they portrayed their roles perfectly. Especially, Xialing and Katy, such great characters. A must-watch.",3-Sep-21
tchovsky,4,That movie was really bad!,"The story is just not there! The acting was ok, the fighting scenes kinda meh but ok, but the story.. they messed up really bad! Really a bad bad movie from Marvel. Holding hands with Thor 2 and Captain Marvel.. the other reviews were definitely bought.",2-Sep-21
btguilherme,10,My favorite Marvel movie so far!,"For a guy like me, that grown up watching Jackie Chan's kung fu movies, this film was a wonderful experience!

Besides all the perfect fight scenes and amazing special effects the story telling was terrific, I was completely moved by Shang-Chi's story and his family's.

And the ending was awesome as well! I don't have too much to say, just a wonderful feeling that this movie gave me!",6-Sep-21
cricketbat,7,"I didn't know what to expect, but I was pleasantly surprised","With no real concept of the character or the story, I didn't really know what to expect from Shang-Chi and the Legend of the Ten Rings. I was pleasantly surprised. This Marvel action film is above average, and features impressive visuals, engaging action scenes, and entertaining characters. There are some missing pieces in the story, which they may be saving for later, but overall, I enjoyed this introduction to a new MCU superhero.",1-Sep-21
GD_Marq,7,Great visuals and fight scenes,null,4-Sep-21
fanimator03,8,Shang-Chi review,Shang Chi and the Legend of the Ten Rings is one of the best comic book movies I've seen! Great humor and intense action throughout the film! You can sympathize with the villain! The music is phenomenal (possible MCU best). Go watch it!,3-Sep-21
jasonjia123,10,Top MCU film,"Does everything the MCU does very well, a few of the things it does poorly, and then brings a whole lot of new elements to the universe. Incredibly enjoyable ride in theaters. At worse, you'll leave feeling like it was pretty good.",1-Sep-21
chris-90011,9,This is the marvel movie the year wanted,Okay so I know black widow was good and all but this oh my God this is the marvel magic movie of the year I laughed felt a rush of action and adventure threw out the entire movie it's just flat out fun to watch like every marvel movie should be so much fun so much to enjoy i highly recommend it to almost anyone. So much enjoyment here.,4-Sep-21
fallenheroangel,1,Somehow even Tenet managed to have more personality,"It's so extremely generic and made with no passion or soul in it. It's just another super generic origin story where main character is basically invincible and beats the bad guy and saves the day, so he could later join some Endgame style movie.",3-Sep-21
kianrangassamy,10,An awesome fresh start to the MCU,"This movie was awesome. It felt like an entirely different experience with amazing CGI. Tony Leung really shone in this movie. It definitely focuses on introducing new characters unlike what people think that these solo mcu movies are just there to set up for a must see event.

I just don't understand why people are rating this one star when it hasn't even been released in the majority of countries. People just be hating for no reason.",1-Sep-21
sifatalam-07591,10,Worth watching,Although i watched hall print bt this movie was too good that i can't even blame the hall print.,3-Sep-21
benjichaplin,10,You're missing out on a outstanding film if you're thinking of not seeing it,"I left the theater almost speechless, I went in with pretty high expectations, As a Asian-American person I didn't really know what to expect from the MCU since it was really their first time introducing this type of culture and character into their franchise, but after seeing this it met all my expectations from the cinematography, to the lore of Chinese mythology and action. I hope this film gets the hype it deserves it ties in with the bigger MCU and leaves some mystery for the anticipation of more.",4-Sep-21
Luce1417,10,"This is phase 4 guys, majestic !!","This movie is it, the whole time I was in awe, everybody in the theater were. Don't read anything, watch it, it's worth the time and money and everything. Marvel outdid themselves. This is phase 4 people, this is it.

Fantastic directing, fantastic editing, fantastic CG, fantastic soundtrack. My expectations were surpassed. I recommend it to everyone.",3-Sep-21
stevendbeard,8,On A Dark Desert Highway.....,null,4-Sep-21
tomjamesg,9,The Best Origin Story Marvel has produced yet.,"Some of the best action scenes yet, great backstory and character development, one of the best MCU ""Villians"" yet, overall very refreshing and enjoyable.",3-Sep-21
swpmjm,1,Generic,"Not worth watching or wasting your money on it. Some obvious fanboys are trying to hype it up, but it's not that good. If you like actual Martial Arts movies, i would recommend some older stuff from 70s.",3-Sep-21
ilovefoodcoma,8,Awesome Fight Scenes,"When the movie first started... I felt like I was watching a ""foreign"" film. No English just Chinese with English subtitle? Didn't know what to expect in this movie. Then later on, the casts started speaking English & the awesome fighting scenes kicked in. OMG!! How exciting~ The fighting choreography was unbelievable. Just as good as Jackie Chan movies!

The storyline was alright but the CG was very good. They used lots of Chinese culture tradition, costume & symbols. Looking forward to see the next sequel.",3-Sep-21
grillmasterj,8,"It's like a 80's kung-fu movie of old (well, mostly)",null,3-Sep-21
gillespiesan,9,...and just when you think you've seen all that Marvel has to offer...,"Marvel, you sneaky SOBs, is there nothing - I mean NOTHING at all - that you can't turn your hands to? I'll be the first to admit that I was very sceptical about what really amounts to a glorified Kung Fu movie finding its place in the MCU. I need not have worried. Shang Chi sits right up there with the very best Marvel has on show.

Simu Liu and the ever wonderful Akwafina make a fantastic duo and the addition of the queenly Michelle Yeo and the wonderful Tony Leung is the icing on the cake. It's exciting, adventurous fun. So go see it, you definitely won't regret it!",3-Sep-21
Fireoil,9,A classic shaped movie yet with marvel touch,"Oh is it beautiful.

The coregraphy, the fights, the landscape, the colors...

The story and the script is previsible, it's good sometimes to have something classic and there it works.

I always though marvel universe movies have less fight , all reunited, with a classic Hong Kong movies such John Woo ones.

Here my toughs are listened and this is easely the most fight based of all MCU movies ever.

I had a great time. Great subjects, editing, actors.

I have preferred this one globally than Black Widow because i see and live what i was expecting and even more.",3-Sep-21
hmonteath,10,Better than expected,"I didn't know anything about the film before going to see it, I thought it would be like Dr Strange (it wasn't). Beautiful visuals, brilliant action scenes and I was interested in the film the whole time!",5-Sep-21
writejyotisko,10,A fresh new perspective for Marvel,This movie reminds me of the old kung fu movies of Jackie Chan and Bruce Lee. The fight sequences are extremely well shot and choreographed and Wenwu might be one of the best villains of the MCU. Simu liu is a very charismatic actor and I'm hoping he gets his own sequel. Definitely recommend everyone to give this movie a watch.,3-Sep-21
michaelgrc8,10,Best of all realms,"A dazzling visual and special effects phenomenon that brought acting, fight scenes and story telling together to bring us one of the top Marvel movies to the deserved Big Screen. I wanted this to be great and it exceeded my expectations, well done by all involved. Kevin Feige's super power must be to bring people together and letting do their their story without controlling every aspect of the production.",6-Sep-21
karim_abd_el_hameed,10,So much better than I expected,null,3-Sep-21
hyperstorm-89818,9,A Master Marvel Movie,The Plot of Shang-Chi is extremely entertaining with twists and turns. The World-building is spectacular. The Characters are extremely well written with depth unlike most marvel movies. A must watch for Marvel fans.,3-Sep-21
msbreviews,8,Shang-Chi and the Legend of the Ten Rings just became one of my absolute favorites of the entire MCU!,"If you enjoy reading my Spoiler-Free thoughts, please follow my blog to read my full review :)

""Shang-Chi and the Legend of the Ten Rings just became one of my absolute favorites of the entire MCU! Destin Daniel Cretton delivers an entertainment-heavy movie with arguably the best action ever seen in the cinematic universe. Through the outstanding mix of long takes, impressive fighting choreography, and jaw-dropping stunt work, Simu Liu shines with his martial arts skills, but also in tackling the identity issues of the protagonist. Marvel gains yet another emotionally compelling antagonist, as well as a relatable female character that embodies many elements of the Asian-American culture. Despite an overreliance on unnecessary, excessive exposition devices (narration, flashbacks, foreshadowing), the story behind all the tales and legends never loses interest. From the breaking of stereotypes to a remarkable depiction of their culture, most Asian viewers will certainly love this film, even more than I do. Phase Four is off to a remarkable start...""

Rating: A-",3-Sep-21
PedroPires90,8,Good,"One of the best origin MCU films. Good story, great and complex family relationships, with it's own identity, a very good balance between action and comedy and really good fight scenes. Between Simu Liu, Awkwafina and Tony Leung it's difficult to decide which was the best, but the acting was really strong all around (also a mention to Ben Kingsley, always funny!). The best thing I can say about it is that for most of it's duration it didn't even feel like an MCU film.

The negatives? Again, too much CGI. It's a huge problem with Marvel and Disney as they use the green screen in almost every scene. I like CGI but seriously, some scenes would look much better with practical effects, others would look way better if they just were shot at location.",8-Sep-21
vntjn-88715,10,A must watch! Amazing movie!,"This is one of the MCUs finest movie.

The VFXs are the best, the story is the best and the Direction...Amazing direction.

The movie is full of adventure. A Must Watch !!",4-Sep-21
ryantheapple,10,10-Oct,"The reason I like this movie so much is because the movie is very easy to understand. The jokes were fine, the cgi was amazing. And it's different than most marvel movies. And Simu Liu is an amazing actor and played the role amazingly.",4-Sep-21
